month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
1,0.09966216216216217,0.36363636363636365,0.29166666666666663,male,Higher education,Household appliances,1,2,0.1125,Married,0,0,0
1,0.02364864864864865,0.21212121212121213,0.1111111111111111,male,Higher education,Household appliances,0,2,0.0625,Married,1,0,0
1,0.01858108108108108,0.21212121212121213,0.43055555555555547,female,Secondary special education,Household appliances,0,0,0.0375,Another,1,1,0
1,0.06756756756756757,0.09090909090909091,0.33333333333333326,female,Secondary special education,Audio & Video,0,0,0.075,Another,1,0,0
1,0.08783783783783783,0.2727272727272727,0.2222222222222222,female,Higher education,Computers,0,0,0.17500000000000002,Another,2,1,0
1,0.052364864864864864,0.2727272727272727,0.1111111111111111,female,Secondary special education,Household appliances,0,2,0.0625,Another,2,1,0
1,0.0033783783783783786,0.0,0.18055555555555552,male,Secondary special education,Computers,0,2,0.0625,Another,1,0,0
1,0.01351351351351351,0.09090909090909091,0.18055555555555552,male,Secondary special education,Cell phones,1,2,0.08750000000000001,Married,0,1,0
1,0.12837837837837837,0.09090909090909091,0.055555555555555525,male,Incomplete higher education,Clothing,0,0,0.075,Another,3,1,0
1,0.010135135135135132,0.2727272727272727,0.18055555555555552,male,Secondary special education,Cell phones,0,2,0.0475,Another,1,1,0
1,0.030405405405405407,0.09090909090909091,0.08333333333333331,female,Incomplete higher education,Computers,0,0,0.08750000000000001,Another,3,1,0
1,0.05912162162162162,0.4545454545454545,0.33333333333333326,male,Secondary special education,Furniture,0,2,0.030000000000000002,Another,1,1,0
1,0.04222972972972973,0.09090909090909091,0.2361111111111111,female,Higher education,Cell phones,0,2,0.095,Another,2,1,0
1,0.04222972972972973,0.2727272727272727,0.02777777777777779,male,Secondary special education,Cell phones,0,2,0.0375,Another,0,1,0
1,0.08277027027027026,0.2727272727272727,0.2361111111111111,female,Secondary education,Cell phones,0,2,0.0625,Another,0,1,0
1,0.15202702702702703,0.4545454545454545,0.02777777777777779,male,Secondary special education,Jewelry,0,2,0.05,Another,0,1,1
1,0.08952702702702703,0.4545454545454545,0.055555555555555525,male,Secondary education,Household appliances,1,2,0.0625,Married,1,1,0
1,0.10810810810810811,0.36363636363636365,0.19444444444444442,male,Higher education,Furniture,1,2,0.08750000000000001,Another,0,1,1
1,0.040540540540540536,0.2727272727272727,0.09722222222222221,male,Secondary special education,Fitness,0,2,0.0625,Another,0,1,0
1,0.02027027027027027,0.09090909090909091,0.4027777777777778,female,Secondary special education,Jewelry,1,2,0.075,Another,1,1,1
1,0.04898648648648648,0.6363636363636364,0.06944444444444442,male,Higher education,Household appliances,0,2,0.0675,Another,2,1,0
1,0.12162162162162163,0.36363636363636365,0.3055555555555556,male,Higher education,Tourism,1,2,0.0625,Married,0,1,0
1,0.02027027027027027,0.09090909090909091,0.013888888888888895,male,Secondary special education,Household appliances,0,2,0.05,Another,0,1,0
1,0.08783783783783783,0.2727272727272727,0.13888888888888884,male,Secondary special education,Household appliances,0,2,0.05,Another,1,1,1
1,0.07770270270270271,0.2727272727272727,0.06944444444444442,male,Higher education,Cell phones,0,0,0.07250000000000001,Another,1,1,0
1,0.052364864864864864,0.2727272727272727,0.26388888888888884,female,Secondary special education,Household appliances,1,0,0.05,Another,0,1,0
1,0.25,0.36363636363636365,0.06944444444444442,male,Secondary special education,Tourism,0,2,0.1125,Married,2,1,0
1,0.06756756756756757,0.09090909090909091,0.18055555555555552,female,Secondary special education,Computers,1,2,0.1,Married,0,0,0
1,0.375,0.4545454545454545,0.20833333333333331,female,Higher education,Clothing,1,2,0.08750000000000001,Married,3,1,0
1,0.04560810810810811,0.09090909090909091,0.19444444444444442,female,Secondary special education,Household appliances,1,2,0.075,Another,1,1,0
1,0.12162162162162163,0.4545454545454545,0.38888888888888884,male,Secondary special education,Cosmetics and beauty services,0,0,0.1,Another,3,1,0
1,0.016891891891891893,0.6363636363636364,0.06944444444444442,male,Incomplete higher education,Computers,0,2,0.05,Married,1,0,1
1,0.010135135135135132,0.0,0.48611111111111105,male,Higher education,Computers,0,2,0.045,Another,3,1,0
1,0.07263513513513514,0.4545454545454545,0.08333333333333331,male,Secondary education,Cell phones,0,2,0.0625,Another,1,1,0
1,0.10472972972972971,0.21212121212121213,0.2361111111111111,male,Higher education,Furniture,1,2,0.075,Married,1,0,0
1,0.08108108108108109,0.4545454545454545,0.15277777777777773,female,Secondary special education,Household appliances,0,2,0.075,Another,0,1,1
1,0.05405405405405405,0.4545454545454545,0.2222222222222222,male,Higher education,Cell phones,0,2,0.0625,Married,1,0,0
1,0.08783783783783783,0.2727272727272727,0.09722222222222221,male,Higher education,Cell phones,0,0,0.08750000000000001,Married,3,1,0
1,0.03209459459459459,0.1818181818181818,0.02777777777777779,male,Incomplete higher education,Household appliances,0,2,0.0375,Married,0,1,0
1,0.05067567567567568,0.2727272727272727,0.15277777777777773,female,Secondary education,Cell phones,1,2,0.05,Another,0,1,1
1,0.028716216216216214,0.2727272727272727,0.6388888888888888,male,Higher education,Windows & Doors,0,2,0.0625,Another,1,1,0
1,0.005067567567567568,0.09090909090909091,0.2222222222222222,female,Secondary special education,Cell phones,0,2,0.0625,Married,0,0,1
1,0.07094594594594594,0.2727272727272727,0.1111111111111111,female,Secondary special education,Computers,0,2,0.0375,Married,2,1,0
1,0.010135135135135132,0.09090909090909091,0.125,male,Secondary education,Cell phones,0,1,0.05,Married,0,1,0
1,0.14527027027027029,0.6363636363636364,0.5,female,Higher education,Household appliances,1,0,0.0625,Another,1,0,0
1,0.08614864864864866,0.6363636363636364,0.125,female,Secondary special education,Household appliances,0,2,0.0625,Another,2,0,0
1,0.08952702702702703,0.09090909090909091,0.29166666666666663,male,Secondary special education,Cell phones,0,0,0.10250000000000001,Married,1,1,0
1,0.08277027027027026,0.4545454545454545,0.04166666666666663,male,Secondary special education,Cell phones,0,2,0.055,Another,1,0,1
1,0.16385135135135134,0.4545454545454545,0.4027777777777778,male,Higher education,Medical services,0,0,0.05,Another,1,1,0
1,0.10810810810810811,0.21212121212121213,0.6388888888888888,male,Higher education,Clothing,0,0,0.125,Another,1,1,0
1,0.12837837837837837,0.36363636363636365,0.09722222222222221,male,Secondary special education,Tourism,0,2,0.07,Another,2,1,0
1,0.043918918918918914,0.2727272727272727,0.055555555555555525,male,Secondary education,Cell phones,1,2,0.045,Another,0,1,1
1,0.08445945945945946,0.2727272727272727,0.1111111111111111,female,Secondary special education,Cell phones,0,2,0.1,Another,2,0,0
1,0.07263513513513514,0.33333333333333337,0.06944444444444442,male,Higher education,Household appliances,0,2,0.07,Another,1,0,1
1,0.10304054054054054,0.2727272727272727,0.16666666666666663,male,Higher education,Cell phones,0,0,0.125,Another,2,1,0
1,0.04222972972972973,0.21212121212121213,0.25,female,Secondary special education,Cell phones,1,2,0.075,Another,0,0,1
1,0.01858108108108108,0.21212121212121213,0.055555555555555525,female,Secondary special education,Computers,0,2,0.05,Another,2,1,0
2,0.03716216216216216,0.09090909090909091,0.04166666666666663,female,Secondary special education,Cell phones,0,2,0.05,Married,1,0,0
2,0.011824324324324322,0.09090909090909091,0.48611111111111105,female,Secondary special education,Cell phones,0,2,0.08750000000000001,Married,2,0,0
2,0.03209459459459459,0.030303030303030304,0.15277777777777773,male,Secondary special education,Computers,1,2,0.020000000000000004,Married,1,0,0
2,0.08783783783783783,0.21212121212121213,0.6388888888888888,male,Secondary special education,Cell phones,0,2,0.022500000000000003,Another,1,1,0
2,0.028716216216216214,0.09090909090909091,0.6388888888888888,male,Secondary special education,Construction Materials,1,2,0.030000000000000002,Another,1,1,0
2,0.033783783783783786,0.2727272727272727,0.19444444444444442,male,Secondary special education,Household appliances,1,2,0.05,Another,3,1,0
2,0.0152027027027027,0.09090909090909091,0.18055555555555552,female,Secondary education,Cell phones,1,2,0.0325,Another,0,1,0
2,0.10304054054054054,0.2727272727272727,0.06944444444444442,female,Higher education,Fitness,0,0,0.1,Another,1,1,0
2,0.02027027027027027,0.09090909090909091,0.3055555555555556,male,Higher education,Furniture,1,2,0.0625,Another,1,1,0
2,0.09797297297297297,0.2727272727272727,0.25,male,Higher education,Cell phones,1,2,0.0575,Another,1,1,1
2,0.02027027027027027,0.0,0.15277777777777773,female,Secondary special education,Furniture,0,1,0.075,Another,1,1,0
2,0.052364864864864864,0.06060606060606061,0.15277777777777773,male,Secondary special education,Household appliances,0,2,0.0625,Another,1,0,0
2,0.01351351351351351,0.06060606060606061,0.8055555555555556,male,Secondary special education,Household appliances,0,2,0.045,Another,0,1,0
2,0.05067567567567568,0.36363636363636365,0.125,male,Higher education,Cell phones,0,2,0.075,Another,1,1,0
2,0.17567567567567569,0.6363636363636364,0.06944444444444442,male,Higher education,Household appliances,0,2,0.1125,Married,2,1,0
2,0.11148648648648649,0.4545454545454545,0.055555555555555525,male,Secondary special education,Furniture,1,2,0.0375,Another,3,1,0
2,0.016891891891891893,0.2727272727272727,0.08333333333333331,male,Higher education,Cell phones,0,2,0.0575,Another,1,0,0
2,0.09797297297297297,0.09090909090909091,0.3194444444444444,female,Secondary special education,Cell phones,1,2,0.0625,Married,1,1,1
2,0.057432432432432436,0.21212121212121213,0.08333333333333331,female,Secondary special education,Cell phones,0,2,0.0575,Another,1,0,0
2,0.02027027027027027,0.09090909090909091,0.41666666666666663,female,Secondary education,Household appliances,1,2,0.1125,Another,1,1,0
2,0.0929054054054054,0.09090909090909091,0.4027777777777778,male,Higher education,Windows & Doors,1,0,0.125,Another,3,1,0
2,0.043918918918918914,0.09090909090909091,0.09722222222222221,female,Higher education,Household appliances,1,0,0.15000000000000002,Another,0,0,0
2,0.02027027027027027,0.09090909090909091,0.15277777777777773,female,Secondary special education,Computers,0,2,0.0575,Another,1,1,0
2,0.0929054054054054,0.6363636363636364,0.625,male,Secondary special education,Household appliances,0,2,0.030000000000000002,Another,2,1,0
2,0.13006756756756757,0.2727272727272727,0.5277777777777777,male,Higher education,Cosmetics and beauty services,0,0,0.0375,Another,1,1,0
2,0.04898648648648648,0.36363636363636365,0.33333333333333326,female,Higher education,Cell phones,1,2,0.05,Another,2,1,0
2,0.16385135135135134,0.9999999999999999,0.41666666666666663,male,Secondary education,Windows & Doors,1,2,0.0475,Another,2,1,0
2,0.5405405405405406,0.2727272727272727,0.41666666666666663,female,Secondary special education,Furniture,0,2,0.125,Another,3,1,0
2,0.0945945945945946,0.2727272727272727,0.2361111111111111,male,Secondary education,Cell phones,1,2,0.0625,Married,1,0,1
2,0.025337837837837836,0.09090909090909091,0.48611111111111105,male,Secondary education,Household appliances,1,2,0.030000000000000002,Another,3,1,0
